title,time,county,link,img_url,content,town
上尉軍官涉足酒店 記2小過求翻案吞敗,2024/5/30 07:35,高雄,https://news.ltn.com.tw/news/society/breakingnews/4688983,https://img.ltn.com.tw/Upload/news/600/2024/05/30/phpSryKp7.jpg,〔記者鮑建信／高雄報導〕國防部後指部吳姓上尉軍官，因涉足有女陪侍場所，被記2小過處分，他不服打行政官司救濟，高雄高等行政法院調查，認為軍方懲處並無違法，判決他敗訴。,無相符區域
警署：加強數位情境訓練 助警判斷何時用槍,2024/5/30 05:30,台北,https://news.ltn.com.tw/news/society/paper/1648714,https://img.ltn.com.tw/Upload/news/600/2024/05/30/135.jpg,〔記者邱俊福、徐聖倫／台北報導〕新北市員警張伯雍追緝危險駕駛轎車，開槍擊中後座乘客致死，一、二審均獲判無罪，若判決無違憲等特殊情況出現，最後可望無罪確定。警政署對此表示，尊重法院判決，警察工作必須經常面對各種突發狀況，且必須在執勤面對危害當下，立即判斷用槍時機，感謝承審法官能充分考量員警執勤情境，並用司法支持第一線員警執法。,無相符區域
臥底金價買賣社群 釣出賣家搶走金鍊,2024/5/30 05:30,桃園,https://news.ltn.com.tw/news/society/paper/1648718,https://img.ltn.com.tw/Upload/news/600/2024/05/30/139.jpg,〔記者鄭淑婷／桃園報導〕近年金價行情好，廿九歲邱姓男子以假名加入金飾買賣社群，偽裝成買家與賣家相約面交，再趁隙搶走八錢金飾手鍊，隨即變賣得手六萬七千元，桃園警分局埔子派出所獲報追緝，發現他去年曾以相同手法犯案，也是落在埔子所手中，在掌握邱男行蹤後，於昨日凌晨逮捕到案。,無相符區域
拍深偽A片入監 小玉懺悔：歹路不可行,2024/5/30 05:30,台北,https://news.ltn.com.tw/news/society/paper/1648717,https://img.ltn.com.tw/Upload/news/600/2024/05/30/138.jpg,〔記者王定傳／新北報導〕網紅「小玉」朱玉宸與助理莊炘睿，利用軟體把黃捷、高嘉瑜等一一九位政界、社會名人的臉，深偽為AV女優、製成性愛片販售牟利，法院依違反個人資料保護法判處朱玉宸六年八月確定，其中五年不得易科罰金，一年八月得易科罰金六十萬元；朱玉宸昨上午現身新北地檢署報到執行，他除向被害者致歉外，也懺悔表示：「歹路不可行」，隨即被押往台北看守所暫時收容，未來將移往宜蘭監獄執行。,無相符地區
擊斃拒檢蛇行車乘客 警「合理用槍」高院判無罪,2024/5/30 05:30,台北,https://news.ltn.com.tw/news/society/paper/1648713,https://img.ltn.com.tw/Upload/news/600/2024/05/30/134.jpg,〔記者張文川／台北報導〕新北市中和警分局中原派出所員警張伯雍，前年追緝拒檢逃逸、蛇形、連續闖紅燈等的街頭狂飆轎車，他邊跑邊朝該車下方連開三槍，擊中後座鍾姓乘客致死，而拒檢車仍鑽車縫擦撞鄰車逃逸，高等法院昨天認定，張員盡量朝下往輪胎射擊，已善盡注意義務，危險駕駛的風險應由駕駛人承擔，依此判張員無罪。,無相符區域
查扣16噸 市價達8500萬 桃園破獲國內最大笑氣分裝場,2024/5/30 05:30,桃園,https://news.ltn.com.tw/news/society/paper/1648759,https://img.ltn.com.tw/Upload/news/600/2024/05/30/183.jpg,〔記者鄭淑婷／桃園報導〕桃園市警方與環保局昨在大園區中山南路一處鐵皮屋，查獲地下笑氣分裝場，現場一座卅五公噸的ISO TANK灌式貨櫃槽，推估剩餘笑氣十六公噸，可分裝超過一萬七千支鋼瓶，若以每支五千元計算，市值高達八千五百萬元，為國內破獲最大宗非法笑氣分裝場，數量之大，令人咋舌。,大園
司院推割喉少年條款／少年刑滿3年未再犯 才能塗銷前科,2024/5/30 05:30,台北,https://news.ltn.com.tw/news/society/paper/1648716,https://img.ltn.com.tw/Upload/news/600/2024/05/30/137.jpg,〔記者張文川／台北報導〕新北市某國中去年十二月發生國三學生在校園遭割喉致死命案，被害人家屬事發後怒批「少年事件處理法」是狗屁法律，動手和教唆殺人的人未來可能連前科都可以被塗銷；對此，司法院院會昨通過「少年事件處理法」部分條文修正草案，增訂少年前案紀錄塗銷要件，規定被宣告判刑或保護、轉介處分的少年，於執行完畢或赦免「後」的三年內，未再故意觸犯刑罰法律而被判刑或保護處分者，才可塗銷前案宣告。,無相符區域
苗縣議員自己顧銀樓 63枚戒指整盤遭搶走,2024/5/30 05:30,苗栗,https://news.ltn.com.tw/news/society/paper/1648715,https://img.ltn.com.tw/Upload/news/600/2024/05/30/136.jpg,〔記者彭健禮／苗栗報導〕苗栗縣議員曾美露自家經營的銀樓，昨晚遭搶走六十三枚總重九兩多的金戒指，損失約九十萬元，警方鎖定對象追查中。,無相符區域
衰被警當共犯壓地上踹 60歲台商怒告：我爸都沒這樣打過我,2024/5/30 00:20,台南,https://news.ltn.com.tw/news/society/breakingnews/4688778,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688778_1_1.jpg,〔記者王捷／台南報導〕陳姓台商到朋友聚會的場所打麻將，不曉得這間鐵皮屋被警方認為是「詐騙機房」，有車手集團成員出入，28日晚上持票攻堅，他在房間裡聽到吵雜聲，下意識擋住門，被警方誤認為共犯壓制，後來雖被排除嫌疑，但他指控警方將他壓在地上踹，活到60幾歲，爸爸都沒這樣打過他，因此向議員陳怡珍陳情，並對警方提告。,無相符區域
遇冒牌「阿格力」慘噴百萬 台中商人拍片親揭「詐團會做的事」,2024/5/29 23:40,台中,https://news.ltn.com.tw/news/society/breakingnews/4688948,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688948_1_1.jpg,〔記者許國楨／台中報導〕台中市張姓商人熱衷股票投資，日前透過臉書發現股市網紅「阿格力」老師的免費分享理財資訊，加入後誤以為真的是「阿格力」本尊，匯款請對方代操投資，結果噴飛百萬元，警方近日也邀請他分享自身慘痛教訓，現身拍片揭露「詐騙集團會做的事」，提醒更多民眾提高警覺，避免成為下一個「受害者」。,無相符區域
